13:55:46.458 [main] INFO  com.my.esindex.MonitorEcCount - 监控启动...
13:56:23.658 [main] INFO  com.my.esindex.MonitorEcCount - 监控启动...
13:56:45.633 [main] INFO  com.my.esindex.MonitorEcCount - 监控启动...
13:57:00.799 [main] INFO  com.my.esindex.MonitorEcCount - 监控启动...
14:28:14.751 [main] INFO  com.my.esindex.MonitorEcCount - 测试发送监控邮件
14:31:12.603 [main] INFO  com.my.esindex.MonitorEcCount - 测试发送监控邮件
14:32:37.187 [main] INFO  com.my.esindex.MonitorEcCount - 测试发送监控邮件
14:33:22.598 [main] INFO  com.my.esindex.MonitorEcCount - 测试发送监控邮件
14:33:26.962 [main] INFO  com.my.esindex.MonitorEcCount - send mail success :420027600@qq.com
14:40:03.193 [main] INFO  com.my.esindex.MonitorEcCount - send mail success :420027600@qq.com
14:42:08.416 [main] INFO  com.my.esindex.TestMonitor - 测试监控邮件
14:42:33.315 [main] INFO  com.my.esindex.MonitorEcCount - send mail success :420027600@qq.com
15:16:16.556 [main] INFO  com.my.esindex.MonitorEcCount - 监控启动...
15:16:24.742 [Timer-6] INFO  com.my.esindex.MonitorEcCount - send mail success :420027600@qq.com
15:17:15.330 [Timer-6] INFO  com.my.esindex.MonitorEcCount - 开始监控...
15:17:15.330 [main] INFO  com.my.esindex.MonitorEcCount - 监控启动完成...
15:17:22.394 [Timer-6] INFO  com.my.esindex.MonitorEcCount - send mail success :420027600@qq.com
15:22:09.294 [main] INFO  com.my.esindex.MonitorEcCount - 监控启动完成...
15:22:09.294 [Timer-6] INFO  com.my.esindex.MonitorEcCount - 开始监控...
15:22:16.467 [Timer-6] INFO  com.my.esindex.MonitorEcCount - send mail success :420027600@qq.com
